source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,external_link
Kunal Kamra,,2020-04-06 10:38:00,*Bhakti Aur Pagalpan** DEVOTION AND MADNESS *,43K,14K,28K,570,85,114,49,2785,1357978731061308,/story.php?story_fbid=1357978731061308&id=370949839764207,
Kunal Kamra,,2020-04-05 22:32:55,"*Bhakts are triggered, I repeat bhakts are triggered*",41K,16K,24K,507,79,25,46,1979,1357520901107091,/story.php?story_fbid=1357520901107091&id=370949839764207,
Kunal Kamra,,2020-04-05 19:14:02,‪Finally something creative from the other side...‬ ‪💅💅💅‬,30K,8.1K,21K,279,52,39,11,1163,1357337434458771,/story.php?story_fbid=1357337434458771&id=370949839764207,
Kunal Kamra,,2020-04-05 10:19:12,😂😂😂,42K,11K,30K,335,80,29,47,2402,1357001077825740,/story.php?story_fbid=1357001077825740&id=370949839764207,
Kunal Kamra,,2020-04-04 19:20:42,I agree & realise that what I did to Tejasviji was unequivocally a condemnable act of injustice... He’s not as uninteresting & unintelligent as I made him appear to be. Although I don’t think he’s intelligent or interesting to begin with but that’s not the point...  🙏🙏🙏,12K,5.4K,6.5K,121,13,8,7,569,1356439087881939,/story.php?story_fbid=1356439087881939&id=370949839764207,
Kunal Kamra,,2020-04-04 09:59:22,🕺🕺🕺,51K,16K,34K,609,87,42,66,4172,1356084877917360,/story.php?story_fbid=1356084877917360&id=370949839764207,
Kunal Kamra,,2020-04-03 19:22:48,😂😂😂,21K,7.2K,13K,174,47,37,21,734,1355545791304602,/story.php?story_fbid=1355545791304602&id=370949839764207,
Kunal Kamra,,2020-04-03 13:45:52,😭😭😭,32K,11K,20K,185,51,30,21,1068,1355316354660879,/story.php?story_fbid=1355316354660879&id=370949839764207,
Kunal Kamra,,2020-04-03 10:21:32,🙏🙏🙏,45K,15K,29K,323,77,48,52,2513,1355182044674310,/story.php?story_fbid=1355182044674310&id=370949839764207,
Kunal Kamra,,2020-04-02 21:05:01,"A constructive chat with Tejasvi Surya, General Secretary - BJP Youth Wing, Karnataka and Member of Parliament for Bengaluru South Lok Sabha Constituency. Edit by Shubham Sardar  Special Thanks @Official PeeingHuman",23K,14K,8.2K,675,77,39,75,1785,1354679171391264,/story.php?story_fbid=1354679171391264&id=370949839764207,
Kunal Kamra,,2020-04-02 18:10:25,Who did this? 😂😂😂,45K,15K,29K,898,95,12,7,1564,1354546278071220,/story.php?story_fbid=1354546278071220&id=370949839764207,
Kunal Kamra,,2020-04-02 10:12:21,Share it on your family what’s app group 🕺🕺🕺 https://youtu.be/ea4GxJIJUjU,4.2K,3.1K,955,81,9,1,,251,1354308541428327,/story.php?story_fbid=1354308541428327&id=370949839764207,
Kunal Kamra,,2020-03-30 13:29:21,Narration by: OSHO Editing: Wiz Delight https://www.instagram.com/wizdelight/ Music: Mahan https://www.instagram.com/hi_mahan/,5.1K,4K,46,912,94,5,5,323,1351830375009477,/story.php?story_fbid=1351830375009477&id=370949839764207,
Kunal Kamra,,2020-03-30 09:36:10,😂😂😂,31K,8.4K,22K,186,57,65,49,1462,1351700485022466,/story.php?story_fbid=1351700485022466&id=370949839764207,
Kunal Kamra,,2020-03-26 13:45:24,‪I always though my work would’ve a positive impact on the comedy scene but as per Karunesh C Talwar I’m doing the exact opposite...‬ ‪😭😭😭‬,4.1K,2.1K,1.8K,67,7,25,5,144,1348292505363264,/story.php?story_fbid=1348292505363264&id=370949839764207,
Kunal Kamra,,2020-03-22 14:42:19,0 phucks to give...,10K,5.2K,5.2K,172,18,5,31,785,1344707082388473,/story.php?story_fbid=1344707082388473&id=370949839764207,
Kunal Kamra,,2020-03-21 18:07:21,My statement on the High Court judgment on my flying ban and my reply to the Aviation Minister addressing me in parliament. Edited by - Shubham Sartaj  Special thanks to: Ramit Varma @Official PeeingHuman  and Garv Malik Advocate and Partner : Lawmen and White.,29K,16K,12K,873,64,59,53,837,1343886255803889,/story.php?story_fbid=1343886255803889&id=370949839764207,
Kunal Kamra,,2020-03-21 17:16:40,"‪These are the points we need to ponder on instead of marketing stunts the PM wants us to do...‬ ‪Also @narendramodi open your ears and listen for a change. ‬ ‪Via - Reetika Khera, development economist, IIMA‬ ‪ ‬",3.8K,3.3K,325,67,8,5,87,593,1343850972474084,/story.php?story_fbid=1343850972474084&id=370949839764207,
Kunal Kamra,,2020-03-21 13:51:24,,587,523,23,34,1,,6,40,142312560493839,/events/142312560493839?view=permalink&id=142312563827172,
Kunal Kamra,,2020-03-20 14:09:47,,33K,10K,22K,253,71,31,68,1613,1342832365909278,/story.php?story_fbid=1342832365909278&id=370949839764207,
Kunal Kamra,,2020-03-17 19:44:55,😭😭😭,14K,4.9K,9.3K,66,24,40,7,233,1340475809478267,/story.php?story_fbid=1340475809478267&id=370949839764207,
Kunal Kamra,,2020-03-17 19:33:57,*Trigger warning*,9.8K,4.2K,5.4K,59,10,5,5,276,1340467249479123,/story.php?story_fbid=1340467249479123&id=370949839764207,
Kunal Kamra,,2020-03-16 11:37:12,😭😭😭,43K,13K,29K,310,104,89,24,999,1339343722924809,/story.php?story_fbid=1339343722924809&id=370949839764207,
Kunal Kamra,,2020-03-16 19:06:17,😂😂😂 Who did this?,27K,9.1K,17K,151,69,16,5,459,1339612569564591,/story.php?story_fbid=1339612569564591&id=370949839764207,
Kunal Kamra,,2020-03-15 10:28:50,Who did this? 😂😂😂,45K,13K,31K,664,94,18,7,1769,1338452136347301,/story.php?story_fbid=1338452136347301&id=370949839764207,
Kunal Kamra,,2020-03-14 11:18:14,*On Vistara*,31K,16K,13K,792,48,7,1,466,1337650753094106,/story.php?story_fbid=1337650753094106&id=370949839764207,
Kunal Kamra,,2020-03-13 11:11:34,🙏🙏🙏,12K,10K,435,1.4K,51,14,,347,1336815036511011,/story.php?story_fbid=1336815036511011&id=370949839764207,
Kunal Kamra,,2020-03-13 09:33:32,😂😂😂,22K,7.4K,15K,213,36,5,2,611,1336763963182785,/story.php?story_fbid=1336763963182785&id=370949839764207,
Kunal Kamra,,2020-03-12 17:27:39,*Polite Reminder*,37K,15K,21K,484,149,93,66,1175,1336182533240928,/story.php?story_fbid=1336182533240928&id=370949839764207,
Kunal Kamra,,2020-03-05 10:25:38,Who did this? 😂😂😂,21K,5.9K,14K,120,39,17,8,716,1330183897174125,/story.php?story_fbid=1330183897174125&id=370949839764207,
