Youtube Corpus 109	https://www.youtube.com/watch?v=bW88uxugJtg
Comment1	Fuck Akihito, queen Elizabeth and all the monarchs of this world.. i am sadly surprise people still tolerate  and even worst, respect this clowns today.. we should all take away their economic and social benefits and get them a job at waltmart or something..
Comment2	Many congratulations to Japan and many respects to the Emperor.  Lots of love from the USA!
Comment3	The emperor who speaks the words in the “High Throne” will calm your heart.<br /> Just as the Emperor&#39;s time is a disaster-resistant period in a peaceful and nuclear-free world.🙏🎌
Comment4	This Japanese American is proud to share this wonderful event and the deep respectful cultural experience. BANZI!!!!
Comment5	Long live Japan and its emperor.
Comment6	Allah bless The Great Britain forever
Comment7	<b>probably does in the manga</b>
Comment8	HE BECAME THE HOKAGE !
Comment9	<b>from shinobi to hokage</b> 😎
Comment10	再度原爆萬歲🤣
Comment11	disgusting
Comment12	"<a href=""https://petitions.whitehouse.gov/petition/oppose-japan-and-iocs-decision-use-rising-sun-flag-tokyo-2020-olympics"">https://petitions.whitehouse.gov/petition/oppose-japan-and-iocs-decision-use-rising-sun-flag-tokyo-2020-olympics</a>"
Comment13	FECE BBC
Comment14	In Japan, it’s very rude to call the name of His Imperial Majesty the Emperor.<br />Please don’t call Emperor Naruhito. Please call the Emperor or the Emperor of Japan.<br />Also, Japanese names are in the order of family names and given names. So the name of the Japanese prime minister is Abe Shinzo, not Shinzo Abe.
Comment 14.1	Koyama Yutaro この天皇の皇民じゃないですからよ、例えば俺と天皇は同じ人間で、完全に平等です。脱亜入欧はまだまだですね　日本国民は
Comment 14.2	okay i see. Mr. Naruhito &amp; Shinzo Abe !
Comment15	The shit royal families&#39; members and people of Japan are all evils, killing many innocent civilians and other ethnics around the world and stealing many country’s treaury and gold. They should all be eliminated or tortured to death and then eaten by animals. They also should all be exterminated for their sins.
Comment16	Those countries who still have emperors ang kings are faithfull people! Not overtaken by traitors
Comment 16.1	long live the republic
Comment17	"salute scene<br /> <a href=""https://youtu.be/nqgihBWUkXQ"">https://youtu.be/nqgihBWUkXQ</a>"
Comment18	banzai from japan🇯🇵🤝🇬🇧
Comment19	I like Japan, but Abe and his followers are disgusting
Comment20	Japan was founded in 660 BC by Emperor Jimmu, who was said to be a direct descendant of the sun-goddess Amaterasu.<br />2019y  126th Emperor
Comment21	Japan is a great country, I hope it never becomes ‘diverse’ 👌
Comment 21.1	Someone doesn&#39;t know about Japan nor it&#39;s history.
Comment 21.2	is your country diverse？
Comment22	官服是宋代款式
Comment23	BBC ARE A BUNCH OF COMMIES
Comment24	I can&#39;t believe this was controversial for economical issues. This is almost like a liturgy. It should be declared World/National Heritage.
Comment25	Democratically elected eye surgeon Dr Assad, who just cleansed the US/UK etc  backed ISIS et al  from his lovely country,   is also a  top world dignitary.  Who instructed the J to not invite him, or are they the noo truth keepers.  SHAME!
Comment26	Banzai
Comment27	I always wonder what that moment with the mirror of Amaterasu is like for him. It must be a humbling moment.
Comment28	Teino heika   BANZAI  BANZAI BANZAI
Comment29	Porn
Comment30	The substantial Japanese ruler is &quot;Shinzo Abe&quot;, and the Japanese Emperor just a scarecrow.
Comment 30.1	Abe is the Prime Minister. The monarch, Naruhito is the Head of State.
Comment31	Big Kudos to Japan for keeping Their traditions going. Absolutely Beautiful to see!
Comment32	Could Japan invade China?<br />💩
Comment33	Japanese is already a beautiful language but somehow when the Emperor was speaking, it sounded more elegant and majestic.
Comment34	Japasttrumvarokvest
Comment35	<b>ITS RYAN MAGEE FROM SUPER MEGA</b>
